SCALE,UTMMAP4
4000,00
2000,01
2000,02
2000,03
2000,04
1000,01
1000,02
1000,03
1000,04
1000,05
1000,06
1000,07
1000,08
1000,09
1000,10
1000,11
1000,12
1000,13
1000,14
1000,15
1000,16
500,01
500,02
500,03
500,04
500,05
500,06
500,07
500,08
500,09
500,10
500,11
500,12
500,13
500,14
500,15
500,16
500,17
500,18
500,19
500,20
500,21
500,22
500,23
500,24
500,25
500,26
500,27
500,28
500,29
500,30
500,31
500,32
500,33
500,34
500,35
500,36
500,37
500,38
500,39
500,40
500,41
500,42
500,43
500,44
500,45
500,46
500,47
500,48
500,49
500,50
500,51
500,52
500,53
500,54
500,55
500,56
500,57
500,58
500,59
500,60
500,61
500,62
500,63
500,64
